judge,selector,coverage,risk
POOLED,oracle,0.25,0.0
POOLED,random,0.25,1.0538053112921886
POOLED,oracle,0.3,0.0
POOLED,random,0.3,1.0533183560278645
POOLED,oracle,0.35,0.0579845543247004
POOLED,random,0.35,1.0532578834056199
POOLED,oracle,0.39999999999999997,0.17574404844594416
POOLED,random,0.39999999999999997,1.0529255763196916
POOLED,oracle,0.44999999999999996,0.2673332476686408
POOLED,random,0.44999999999999996,1.052811238747976
POOLED,oracle,0.49999999999999994,0.3406036563859772
POOLED,random,0.49999999999999994,1.0528921620427318
POOLED,oracle,0.5499999999999999,0.4005515472784768
POOLED,random,0.5499999999999999,1.0525967255982498
POOLED,oracle,0.6,0.4505076948061836
POOLED,random,0.6,1.0525240028408354
POOLED,oracle,0.65,0.49277797816872015
POOLED,random,0.65,1.0523489404784072
POOLED,oracle,0.7,0.5290094291659946
POOLED,random,0.7,1.0525581933256933
POOLED,oracle,0.75,0.5763503108334673
POOLED,random,0.75,1.0527760582589167
POOLED,oracle,0.7999999999999999,0.6653312162757297
POOLED,random,0.7999999999999999,1.0532783922917295
POOLED,oracle,0.85,0.7438434671558725
POOLED,random,0.85,1.0531773466563863
POOLED,oracle,0.9,0.8137700815000873
POOLED,random,0.9,1.0529861920635204
POOLED,oracle,0.95,0.925261348198057
POOLED,random,0.95,1.0529029131301622
POOLED,oracle,1.0,1.052947767420793
POOLED,random,1.0,1.052947767420793
