judge,selector,coverage,risk
LLaVA-Critic,cp_width,0.15,0.9361558642543486
LLaVA-Critic,cp_width,0.2,0.9596349757579196
LLaVA-Critic,cp_width,0.25,0.9792092547265902
LLaVA-Critic,cp_width,0.3,0.9815119564735811
LLaVA-Critic,cp_width,0.35,0.9907004345725228
LLaVA-Critic,cp_width,0.39999999999999997,0.9989116140637128
LLaVA-Critic,cp_width,0.44999999999999996,1.0060451291076333
LLaVA-Critic,cp_width,0.49999999999999994,1.0143805150292817
LLaVA-Critic,cp_width,0.5499999999999999,1.0155739040633385
LLaVA-Critic,cp_width,0.6,1.0158298252548346
LLaVA-Critic,cp_width,0.65,1.014414570120595
LLaVA-Critic,cp_width,0.7,1.0151987623715168
LLaVA-Critic,cp_width,0.75,1.0176878445110533
LLaVA-Critic,cp_width,0.7999999999999999,1.0190662433985493
LLaVA-Critic,cp_width,0.85,1.0232517350200394
LLaVA-Critic,cp_width,0.9,1.0236421558888518
LLaVA-Critic,cp_width,0.95,1.0282436024516894
LLaVA-Critic,cp_width,1.0,1.0329216667249763
LLaVA-Critic,judge_margin,0.05,0.8888981732113878
LLaVA-Critic,judge_margin,0.1,0.8142017732331708
LLaVA-Critic,judge_margin,0.15,0.8222868618043228
LLaVA-Critic,judge_margin,0.2,0.8627337444610154
LLaVA-Critic,judge_margin,0.25,0.8937131488190134
LLaVA-Critic,judge_margin,0.3,0.8956454795849038
LLaVA-Critic,judge_margin,0.35,0.9118104771578175
LLaVA-Critic,judge_margin,0.39999999999999997,0.9307424076356497
LLaVA-Critic,judge_margin,0.44999999999999996,0.9477016212704058
LLaVA-Critic,judge_margin,0.49999999999999994,0.9588844476702378
LLaVA-Critic,judge_margin,0.5499999999999999,0.9741478879609597
LLaVA-Critic,judge_margin,0.6,0.9818031876430581
LLaVA-Critic,judge_margin,0.65,1.000308954067489
LLaVA-Critic,judge_margin,0.7,1.0130913686591618
LLaVA-Critic,judge_margin,0.75,1.0199340205849696
LLaVA-Critic,judge_margin,0.7999999999999999,1.0216101528022723
