judge,dataset,category,n_items,rho_pt,rho_lo,rho_hi,rho_halfwidth,width_seed_mean,width_seed_lo,width_seed_hi,rsg_pt,rsg_lo,rsg_hi
Phi-4,diffusiondb,Aesthetics/AI,298,0.28458778067143736,0.18245042289339722,0.38738092980744243,0.1024652534570226,3.092954898357392,2.8079972937941555,3.4014933451016742,0.05782650526078531,-0.1155502536580639,0.237754266082861
Phi-4,infographicsVQA,Vision-Heavy,390,0.16204881255988454,0.0655866887315385,0.2625235901555264,0.09846845071199395,3.474236900902273,3.360411626410544,3.5956758152060773,0.03060803778545282,-0.09431040466582552,0.16144254395704571
Phi-4,llava_bench,General VQA,390,0.1384052825221782,0.03558774504293863,0.23809302812095579,0.10125264153900858,2.99896951980061,2.7780476269502232,3.2000683325649515,-0.11185233752766932,-0.2699003482195056,0.03811011126219366
Phi-4,mathvista,Vision-Heavy,781,0.33920232689324464,0.27739857299688087,0.40155535554207744,0.06207839127259829,3.46283933594257,3.337567168674892,3.5907774784557427,0.20491216087888714,0.11179036516560381,0.2992497251560131
Phi-4,mind2web,Knowledge/Web,398,0.22435846870058634,0.10698114389289332,0.32972883370495987,0.11137384490603328,2.8438508478840396,2.6740618626915627,3.025464988657877,-0.06467881932840375,-0.22450339043421602,0.08609508086942907
Phi-4,mm-vet,General VQA,249,0.2961405253904476,0.1598889997315481,0.42556760746498756,0.13283930386671972,2.3832787443501084,2.002368858026905,2.7831871831832924,-0.10803978852202528,-0.33951878576172567,0.12136440326081066
Phi-4,textVQA,Vision-Heavy,389,0.21344387247048666,0.11007510956162558,0.31702422695405374,0.10347455869621408,2.926868841171265,2.6814802308753136,3.1543497430086136,-0.05483891723669712,-0.219554832719546,0.10561166270620714
Gemini,AesBench,Aesthetics/AI,338,0.2562425920986022,0.14412634711678154,0.3644877061013938,0.11018067949230613,2.192659635020762,2.065605579024675,2.3271800193783583,-0.1955924991462073,-0.33947225812704973,-0.053717289054016626
Gemini,ChartQA,Vision-Heavy,399,0.4938219370265629,0.41823602217658645,0.5670703961476535,0.07441718698553354,2.8457716106176374,2.539237472240627,3.124154289616644,0.20526483968097226,0.053045390236743206,0.3481089685518145
Gemini,Concept Caption,Knowledge/Web,380,0.4275218877450021,0.3356712360003112,0.5103056996743816,0.08731723183703519,2.6764383700025745,2.4858618583781036,2.887998151028875,0.09663148024564572,-0.042863299405162925,0.23230523743160025
Gemini,ScienceQA,Vision-Heavy,379,0.5295765588300568,0.44263097747928576,0.6136700752528419,0.08551954888677807,2.946239752661098,2.6079058021848853,3.2922729329614326,0.2661364969953314,0.09460742802550709,0.43673830849320006
Gemini,VisitBench,General VQA,381,0.5242848726086505,0.4426135404173665,0.6019034839320302,0.07964497175733184,2.6214326737514093,2.3835454322809553,2.8436829953322458,0.17964304104650286,0.03849989848760532,0.31282423276509164
Gemini,WIT,Knowledge/Web,360,0.29403262692910626,0.1882652164050415,0.393732919795306,0.10273385169513224,2.7121402676701547,2.5116930473834276,2.884550374419987,-0.02793230615335507,-0.1838115217491016,0.11487051340030274
Gemini,coco,General VQA,387,0.342139850211862,0.238951241270693,0.4413367846957211,0.10119277171251403,2.6600425176285016,2.441149944652564,2.8708725476759165,0.007150479618987404,-0.150761272566166,0.1590549216147002
Gemini,diffusiondb,Aesthetics/AI,259,0.319579489886707,0.21100303577107193,0.43178883308314925,0.11039289865603866,3.287670467535654,3.054698001229763,3.530697145613034,0.1414971067706205,-0.025322463921487293,0.31446311948640776
Gemini,infographicsVQA,Vision-Heavy,397,0.5469500176092803,0.47142703699544664,0.6181102313274021,0.07334159716597771,2.928923233609703,2.735138969193751,3.1162897544889594,0.279180826011706,0.1552117792938844,0.3971826699496419
Gemini,llava_bench,General VQA,362,0.31235542271444355,0.21255305737882718,0.40123623407148834,0.09434158834633058,3.0621959258811637,2.862952741092504,3.2715953885936977,0.07790440418473449,-0.07170875734804677,0.21913508121991276
Gemini,mathvista,Vision-Heavy,744,0.41429806049797296,0.3464880318664008,0.48127604005867586,0.06739400409613752,3.2395910617973227,3.094646614765064,3.3661843932693514,0.22419582594730364,0.12014968555766686,0.3228221383760137
Gemini,mind2web,Knowledge/Web,380,0.06491073773841471,-0.04466683943718661,0.17000163452408812,0.10733423698063736,2.9137124928397746,2.8017303620855416,3.040883448660074,-0.20666113905164163,-0.25490057004142797,-0.06977750331089339
Gemini,mm-vet,General VQA,247,0.23340981483743484,0.09007750717467117,0.3687212994023858,0.1393218961138573,2.5234446000683213,2.1112350075697712,2.929020723035169,-0.13572903514548484,-0.382113740932886,0.10097648016117805
Gemini,textVQA,Vision-Heavy,396,0.6003076340503849,0.524845124580164,0.6684810882219047,0.07181798182087035,2.2328800249695773,2.1234937882348897,2.3198083800077436,0.15852764029277921,0.05571857163888638,0.24843318322384056
