judge,tau,accept_rate,exact_acc,pm1_acc,mae,cp_cov_raw
LLaVA-Critic,1.50,0.002204107336528706,0.49206349206349204,0.7936507936507936,0.873015873015873,0.7777777777777778
LLaVA-Critic,1.75,0.005877619564076549,0.4226190476190476,0.7916666666666666,0.8869047619047619,0.7619047619047619
LLaVA-Critic,2.00,0.015183850540531086,0.43548387096774194,0.8064516129032258,0.8433179723502304,0.7741935483870968
LLaVA-Critic,2.25,0.05657208830423678,0.4322820037105751,0.8064316635745207,0.8701298701298701,0.8738404452690167
LLaVA-Critic,2.50,0.1534478536192842,0.40948472412220704,0.7811217510259918,0.9343365253077975,0.8825809393524852
LLaVA-Critic,2.75,0.2905573242836651,0.3801324503311258,0.7633955448524985,0.982901866345575,0.8779048765803733
LLaVA-Critic,3.00,0.4385823741384739,0.3589661774090619,0.7603701340140395,1.0032705807275049,0.8658264199106573
LLaVA-Critic,3.25,0.7266207186089634,0.3414223120997641,0.759304733015552,1.0155038759689923,0.88771727093264
LLaVA-Critic,3.50,0.851904978483714,0.3331006160164271,0.7563860369609856,1.0230800821355237,0.8875564681724846
LLaVA-Critic,3.75,0.9160689920582165,0.32901772074549346,0.7557286892758937,1.0244805988389856,0.8863046135044302
LLaVA-Critic,4.00,1.0,0.3226743169016548,0.751180771787426,1.0329216667249763,0.8930133296015114
Phi-4,all,1.0,0.3450166230459079,0.7584706797764731,1.0039258682888874,0.8935771380066492
Phi-4,0.50,7.073636556553724e-05,0.0,0.5,2.0,0.0
Phi-4,0.75,0.00024757727947938036,0.14285714285714285,0.42857142857142855,2.0,0.42857142857142855
Phi-4,1.00,0.00038905001061045484,0.18181818181818182,0.36363636363636365,1.8181818181818181,0.36363636363636365
Phi-4,1.25,0.000742731838438141,0.23809523809523808,0.38095238095238093,1.8095238095238095,0.5714285714285714
Phi-4,1.50,0.0015208318596590508,0.27906976744186046,0.4418604651162791,1.6744186046511629,0.627906976744186
Phi-4,1.75,0.0033953455471457876,0.3020833333333333,0.5520833333333334,1.4375,0.6875
Phi-4,2.00,0.007462686567164179,0.4028436018957346,0.7345971563981043,1.014218009478673,0.7772511848341233
Phi-4,2.25,0.03734880101860366,0.41761363636363635,0.8475378787878788,0.8323863636363636,0.884469696969697
Phi-4,2.50,0.10589233925160925,0.4028056112224449,0.8410153640614563,0.8550434201736807,0.8891115564462257
Phi-4,2.75,0.1935346961873099,0.3985745614035088,0.8256578947368421,0.8813961988304093,0.872624269005848
Phi-4,3.00,0.3036712173728514,0.3900535755881668,0.8187747495923596,0.8904029815979502,0.8612858141160028
Phi-4,3.25,0.6012591073070666,0.37141176470588233,0.7954117647058824,0.9264117647058824,0.886
Phi-4,3.50,0.8101789630048808,0.36023922818352466,0.780285502248221,0.9566944602086699,0.8863666128257738
Phi-4,3.75,0.8934002970927354,0.35209817893903406,0.7696357878068092,0.9778701504354711,0.8843230403800475
Phi-4,4.00,1.0,0.3450166230459079,0.7584706797764731,1.0039258682888874,0.8935771380066492
POOLED,all,1.0,0.3296898467113262,0.738038477125897,1.052947767420793,0.8935561541945789
POOLED,0.50,2.3839607123274607e-05,0.0,0.5,2.0,0.0
POOLED,0.75,0.00011919803561637304,0.2,0.4,2.0,0.4
POOLED,1.00,0.00021455646410947147,0.2222222222222222,0.3333333333333333,1.9444444444444444,0.3333333333333333
POOLED,1.25,0.0007986268386296994,0.417910447761194,0.582089552238806,1.4029850746268657,0.6417910447761194
POOLED,1.50,0.0020978854268481656,0.4318181818181818,0.7045454545454546,1.1306818181818181,0.75
POOLED,1.75,0.006317495887667771,0.47735849056603774,0.7811320754716982,0.9018867924528302,0.8018867924528302
POOLED,2.00,0.014649438577252247,0.49389747762408465,0.822620016273393,0.7933279088689992,0.8185516680227828
POOLED,2.25,0.07769327961475195,0.45335992635777844,0.8298557839828168,0.8131328628413624,0.9045719545872967
POOLED,2.50,0.1871528357212673,0.4125851856569645,0.7969556079230622,0.9006432711292275,0.8979045920641997
POOLED,2.75,0.32376570434119245,0.3868640011781165,0.7795449525071791,0.9470583903983506,0.8850968264487151
POOLED,3.00,0.44959115073783584,0.37059229015324247,0.7738745426586775,0.9677342382947134,0.8734291319794263
POOLED,3.25,0.6966171597492073,0.3534273296601759,0.7632866773895486,0.9952431470517779,0.8881626227712947
POOLED,3.50,0.8457219825017284,0.3429127144085355,0.7520965173147666,1.0204930163070287,0.8881340643542727
POOLED,3.75,0.9130688726249792,0.33666662315113377,0.7463740682236525,1.0333807652641611,0.8864114045508544
POOLED,4.00,1.0,0.3296898467113262,0.738038477125897,1.052947767420793,0.8935561541945789
